1;2976;Insert
1001;2156;Insert
2001;3733;Insert
3001;6062;Insert
4001;8592;Insert
5001;8250;Insert
6001;10432;Insert
7001;12501;Insert
8001;13727;Insert
9001;15852;Insert
10001;17906;Insert
11001;21388;Insert
12001;23294;Insert
13001;23951;Insert
14001;28265;Insert
15001;27666;Insert
16001;33739;Insert
17001;38231;Insert
18001;42943;Insert
19001;42754;Insert
20001;44998;Insert
21001;45312;Insert
22001;48211;Insert
23001;48063;Insert
24001;51523;Insert
25001;52767;Insert
26001;53096;Insert
27001;51838;Insert
28001;59734;Insert
29001;62974;Insert
30001;60764;Insert
31001;71871;Insert
32001;76100;Insert
33001;80445;Insert
34001;83342;Insert
35001;88261;Insert
36001;94913;Insert
37001;101760;Insert
38001;103234;Insert
39001;115670;Insert
40001;114959;Insert
41001;108382;Insert
42001;114822;Insert
43001;126155;Insert
44001;119462;Insert
45001;122811;Insert
46001;130237;Insert
47001;137802;Insert
48001;130859;Insert
49001;142786;Insert
50001;143632;Insert
51001;140787;Insert
52001;143338;Insert
53001;140403;Insert
54001;155169;Insert
55001;152460;Insert
56001;154706;Insert
57001;168521;Insert
58001;167128;Insert
59001;166323;Insert
60001;167222;Insert
61001;166006;Insert
62001;176824;Insert
63001;173411;Insert
64001;160396;Insert
65001;151587;Insert
66001;162643;Insert
67001;153646;Insert
68001;157119;Insert
69001;152287;Insert
70001;152756;Insert
71001;163390;Insert
72001;163996;Insert
73001;154640;Insert
74001;155673;Insert
75001;155274;Insert
76001;162450;Insert
77001;162069;Insert
78001;165995;Insert
79001;162405;Insert
80001;162169;Insert
81001;152117;Insert
82001;151133;Insert
83001;153620;Insert
84001;154510;Insert
85001;150749;Insert
86001;152873;Insert
87001;157811;Insert
88001;157600;Insert
89001;156509;Insert
90001;156538;Insert
91001;148863;Insert
92001;156231;Insert
93001;154250;Insert
94001;147910;Insert
95001;157057;Insert
96001;150783;Insert
97001;155372;Insert
98001;159886;Insert
99001;146657;Insert
100001;155970;Insert
